Ticker,Name,Exchange,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL
700,TENCENT HOLDINGS LTD,XHKG,13.77,596,"1,230,191","733,193,836","733,193,836",Communication,BMMV2K8
9988,ALIBABA GROUP HOLDING LTD,XHKG,10.4,205.2,"2,700,695","554,182,614","554,182,614",Consumer Discretionary,BK6YZP5
3690,MEITUAN,XHKG,4.44,307.2,"769,658","236,438,938","236,438,938",Consumer Discretionary,BGJW376
939,CHINA CONSTRUCTION BANK CORP H,XHKG,2.41,6.26,"20,517,480","128,439,425","128,439,425",Financials,B0LMTQ3
BABA,ALIBABA GROUP HOLDING ADR REPRESEN,XNYS,2.07,"1,642.40","67,091","110,191,000","110,191,000",Consumer Discretionary,BP41ZD1
2318,PING AN INSURANCE (GROUP) CO OF CH,XHKG,2.05,80.9,"1,347,081","108,978,853","108,978,853",Financials,B01FLR7
JD,JD.COM ADR REPRESENTING INC,XNAS,1.92,552.46,"185,041","102,228,283","102,228,283",Consumer Discretionary,BMM27D9
NIO,NIO AMERICAN DEPOSITARY SHARES REP,XNYS,1.84,354.49,"275,929","97,815,471","97,815,471",Consumer Discretionary,BFZX9H8
2269,WUXI BIOLOGICS CAYMAN INC,XHKG,1.67,124.8,"714,025","89,110,320","89,110,320",Health Care,BL6B9P1
PDD,PINDUODUO ADR REPRESENTING INC,XNAS,1.66,946.53,"93,498","88,499,222","88,499,222",Consumer Discretionary,BYVW0F7
1810,XIAOMI CORP,XHKG,1.61,28.15,"3,043,782","85,682,463","85,682,463",Information Technology,BG0ZMJ9
BIDU,BAIDU ADS REPTG INC CLASS A,XNAS,1.57,"1,456.54","57,484","83,728,290","83,728,290",Communication,B0FXT17
NTES,NETEASE ADR INC,XNAS,1.41,877.62,"85,762","75,266,758","75,266,758",Communication,2606440
1398,INDUSTRIAL AND COMMERCIAL BANK OF,XHKG,1.14,5.04,"12,021,289","60,587,297","60,587,297",Financials,B1G1QD8
